X,Y,district,monument_id,ste_name,period,category,subcategory,type
635326.0002,6832832,Parikkala,1000022694,Harjula,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
247875,6778049,Säkylä,1000023341,Mäkelä 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
356906.0001,6775186,Hattula,1000024654,Vaarinkari,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
419069.9998,6788104,Asikkala,1000038713,Hoimela 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
418634,6787216,Asikkala,1000038714,Tyynelä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
518915.9999,6842156,Mikkeli,1000038728,Heikkala 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
364874.0003,6741180,Janakkala,1000023196,Sauvala,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
340985,6777490,Hämeenlinna,1000023511,Ranta-Sipilä 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
355784.0001,6772321,Hattula,1000023503,Yli-Kerälä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
354900,6780220,Hattula,1000023505,Soukonlahti,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
369271.9999,6781668,Hämeenlinna,1000023700,Talola 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
346021.0002,6786615,Valkeakoski,1000038711,Hakala,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
353740.9998,6776188,Hattula,1000038724,Tenholanlukot,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
245040.0003,6713090,Kaarina,1000023701,Tähkäpää 4,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
356093.9999,6779906,Hattula,1000025100,Ristiinanhovi 1,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
238622.0002,6722858,Rusko,1000038710,Lempo 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
415205.0002,6760991,Hollola,1000038716,Kurenkalliot 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
411936.9998,6794669,Padasjoki,1000038720,Yli-Teppinen,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
292366.9998,6817077,Sastamala,1000037966,Kiurala Myllyoja,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
411879.0001,6779723,Asikkala,1000038736,Pauni,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
347102.9998,6826195,Kangasala,1000038744,Toosilanniemi 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
411017.9998,6777037,Asikkala,1000038727,Ylä-Uotila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
392927.9999,6773655,Hämeenlinna,1000037565,Linnamäen eteläpuolinen pelto,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
358197.0003,6793557,Pälkäne,1000037564,Rönni,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
639922.9998,7182090,Suomussalmi,1000036918,Ala-Hoikka,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
597693.9998,7222624,Suomussalmi,1000036920,Naulasaari,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
235478,6714466,Raisio,1000038754,Kauris,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
418852.0002,6788182,Asikkala,1000037574,Ruskeamäki,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
340407.9999,6784399,Valkeakoski,1000023880,Vähä-Kantala,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
591053,7252594,Suomussalmi,1000036922,Peranka Kokkoniemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
370655.0002,6781130,Hämeenlinna,1000023956,Haapahuhta,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
365967.9998,6741198,Janakkala,1000026775,Anttila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
340766.9998,6777582,Hämeenlinna,1000028638,Tajanen,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
550774.0003,7220951,Puolanka,1000036908,Kaakkoharju,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
370310.0001,6781390,Hämeenlinna,1000024007,Hahkialan kartano,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
314727.0001,6802042,Vesilahti,1000037566,Kurhiannokka,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
367118.0003,6754057,Janakkala,1000023962,Virala,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
312620.0001,6802218,Vesilahti,1000029619,Uotila 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
367908.9998,6760268,Hämeenlinna,1000028695,Nujukumpu,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
315531,6819497,Nokia,1000024253,Varassaari,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
677701.9998,7005249,Lieksa,1000028591,Mäntyjärvi pohjoinen,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
368390.0001,6750375,Janakkala,1000028668,Valkama,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
687134.9998,7011700,Lieksa,1000027607,Polvilammen itäinen niemi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
356760.9998,6782845,Hattula,1000026813,Heikkilä,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
232152.9998,6730056,Nousiainen,1000030817,Perkkovuori 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",kiinteä muinaisjäännös
356760.9998,6782563,Hattula,1000026808,Mattila,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
344349.0002,6675141,Siuntio,1000027474,Fjällbacka 3,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
364234.9998,6785993,Hämeenlinna,1000024299,Rantavainio,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
262709.9999,6697378,Sauvo,1000030842,Laurila 2,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",löytöpaikka
233477.9998,6730403,Nousiainen,1000030846,Pläsi,iron age,"löytöpaikat,  ,  ,","ei määritelty,  ,  ,",mahdollinen muinaisjäännös
