objecttype,easting,northing,seals,fromdate,todate
BUCKLE,"605000","125000","0","1200","1350"
BUCKLE,"605000","137000","0","1200","1500"
BUCKLE,"605000","137000","0","1200","1500"
BUCKLE,"605000","137000","0","1200","1500"
BUCKLE,"605000","137000","0","1200","1500"
BUCKLE,"608000","132000","0","1200","1300"
BUCKLE,"610000","141000","0","1200","1350"
BUCKLE,"612000","155000","0","1200","1400"
BUCKLE,"613000","155000","0","1200","1399"
BUCKLE,"615000","156000","0","1200","1400"
BUCKLE,"621000","162000","0","1200","1900"
BUCKLE,"624000","154000","0","1200","1400"
BUCKLE,"625000","161000","0","1200","1350"
BUCKLE,"625000","167000","0","1200","1400"
BUCKLE,"626000","152000","0","1200","1400"
BUCKLE,"626000","152000","0","1200","1400"
BUCKLE,"626000","152000","0","1200","1300"
BUCKLE,"626000","152000","0","1200","1400"
BUCKLE,"627000","165000","0","1200","1400"
BUCKLE,"627000","166000","0","1200","1400"
BUCKLE,"628000","144000","0","1200","1400"
BUCKLE,"628000","154000","0","1200","1450"
BUCKLE,"631000","146000","0","1200","1300"
BUCKLE,"631000","147000","0","1200","1299"
BUCKLE,"631000","147000","0","1200","1400"
BUCKLE,"631000","149000","0","1200","1600"
BUCKLE,"633000","155000","0","1200","1400"
BUCKLE,"635000","146000","0","1200","1300"
BUCKLE,"635000","148000","0","1200","1300"
BUCKLE,"635000","149000","0","1200","1300"
BUCKLE,"635000","150000","0","1200","1300"
BUCKLE,"636000","148000","0","1200","1400"
BUCKLE,"636000","152000","0","1200","1400"
BUCKLE,"560000","164000","0","1230","1400"
BUCKLE,"568000","167000","0","1230","1400"
BUCKLE,"602000","156000","0","1230","1260"
BUCKLE,"615000","140000","0","1230","1400"
BUCKLE,"623000","156000","0","1230","1450"
BUCKLE,"625000","166000","0","1230","1400"
BUCKLE,"626000","156000","0","1230","1400"
BUCKLE,"634000","147000","0","1230","1400"
BUCKLE,"634000","147000","0","1230","1400"
BUCKLE,"622000","147000","0","1248","1250"
BUCKLE,"551000","159000","0","1250","1400"
BUCKLE,"552000","147000","0","1250","1400"
BUCKLE,"553000","168000","0","1250","1500"
BUCKLE,"555000","167000","0","1250","1500"
BUCKLE,"556000","166000","0","1250","1500"
BUCKLE,"557000","166000","0","1250","1400"
BUCKLE,"557000","167000","0","1250","1400"
BUCKLE,"558000","161000","0","1250","1450"
BUCKLE,"558000","165000","0","1250","1500"
BUCKLE,"559000","169000","0","1250","1400"
BUCKLE,"559000","170000","0","1250","1400"
BUCKLE,"560000","163000","0","1250","1500"
BUCKLE,"560000","171000","0","1250","1500"
BUCKLE,"561000","171000","0","1250","1400"
BUCKLE,"562000","149000","0","1250","1450"
BUCKLE,"562000","151000","0","1250","1450"
BUCKLE,"562000","163000","0","1250","1500"
BUCKLE,"562000","166000","0","1250","1400"
BUCKLE,"562000","166000","0","1250","1500"
BUCKLE,"562000","169000","0","1250","1400"
BUCKLE,"562000","170000","0","1250","1500"
BUCKLE,"567000","167000","0","1250","1500"
BUCKLE,"568000","156000","0","1250","1400"
BUCKLE,"569000","172000","0","1250","1500"
BUCKLE,"569000","172000","0","1250","1500"
BUCKLE,"570000","170000","0","1250","1400"
BUCKLE,"572000","162000","0","1250","1500"
BUCKLE,"572000","162000","0","1250","1500"
BUCKLE,"573000","162000","0","1250","1400"
BUCKLE,"573000","162000","0","1250","1400"
BUCKLE,"579000","137000","0","1250","1550"
BUCKLE,"584000","149000","0","1250","1400"
BUCKLE,"585000","152000","0","1250","1400"
BUCKLE,"585000","152000","0","1250","1450"
BUCKLE,"587000","162000","0","1250","1500"
BUCKLE,"589000","162000","0","1250","1400"
BUCKLE,"590000","151000","0","1250","1400"
BUCKLE,"590000","153000","0","1250","1400"
BUCKLE,"591000","147000","0","1250","1500"
BUCKLE,"594000","145000","0","1250","1450"
BUCKLE,"594000","145000","0","1250","1400"
BUCKLE,"594000","154000","0","1250","1400"
BUCKLE,"596000","131000","0","1250","1450"
BUCKLE,"598000","140000","0","1250","1400"
BUCKLE,"598000","140000","0","1250","1450"
BUCKLE,"599000","139000","0","1250","1500"
BUCKLE,"599000","139000","0","1250","1500"
BUCKLE,"601000","157000","0","1250","1600"
BUCKLE,"602000","120000","0","1250","1400"
BUCKLE,"603000","125000","0","1250","1400"
BUCKLE,"603000","125000","0","1250","1500"
BUCKLE,"603000","125000","0","1250","1400"
BUCKLE,"603000","125000","0","1250","1400"
BUCKLE,"603000","125000","0","1250","1400"
BUCKLE,"603000","129000","0","1250","1400"
BUCKLE,"603000","129000","0","1250","1400"
BUCKLE,"605000","124000","0","1250","1350"
BUCKLE,"605000","124000","0","1250","1600"
BUCKLE,"605000","124000","0","1250","1400"
BUCKLE,"605000","125000","0","1250","1400"
BUCKLE,"606000","126000","0","1250","1400"
BUCKLE,"607000","137000","0","1250","1400"
BUCKLE,"608000","131000","0","1250","1450"
BUCKLE,"608000","132000","0","1250","1400"
BUCKLE,"610000","141000","0","1250","1400"
BUCKLE,"615000","140000","0","1250","1400"
BUCKLE,"616000","140000","0","1250","1400"
BUCKLE,"616000","140000","0","1250","1400"
BUCKLE,"616000","140000","0","1250","1500"
BUCKLE,"616000","140000","0","1250","1400"
BUCKLE,"616000","141000","0","1250","1400"
BUCKLE,"617000","159000","0","1250","1450"
BUCKLE,"617000","159000","0","1250","1400"
BUCKLE,"617000","161000","0","1250","1350"
BUCKLE,"617000","166000","0","1250","1400"
BUCKLE,"619000","144000","0","1250","1450"
