objecttype,broadperio,fromdate,todate,old_findID
COIN,MEDIEVAL,1302,1310,WILT-B80462
COIN,MEDIEVAL,1302,1310,WILT-B83437
COIN,MEDIEVAL,1305,1306,WILT-A03A6A
COIN,MEDIEVAL,1305,1306,WILT-9E219C
COIN,MEDIEVAL,1305,1322,WILT-2830D7
COIN,MEDIEVAL,1307,1309,WILT-8FE6EB
COIN,MEDIEVAL,1307,1309,WILT-8FC45E
COIN,MEDIEVAL,1307,1309,WILT-9E8E1C
COIN,MEDIEVAL,1307,1309,SOM-7E8A86
JETTON,MEDIEVAL,1307,1327,WILT-286191
COIN,MEDIEVAL,1310,1314,WILT-901C81
COIN,MEDIEVAL,1310,1314,WILT-0DDED2
BUCKLE,MEDIEVAL,1330,1450,WILT-35E683
COIN,MEDIEVAL,1335,1483,WILT-0D7321
CLASP,MEDIEVAL,1350,1400,WILT-C6FA5D
BUCKLE,MEDIEVAL,1350,1400,SOM-ED23B5
STRAP END,MEDIEVAL,1350,1400,WILT-414721
STRAP FITTING,MEDIEVAL,1350,1400,SOM-F8C2C6
STRAP END,MEDIEVAL,1350,1400,PUBLIC-10218C
STRAP FITTING,MEDIEVAL,1350,1400,WILT-6DA8B6
STRAP FITTING,MEDIEVAL,1350,1400,WILT-6D4EB5
BUCKLE,MEDIEVAL,1350,1400,PUBLIC-164847
STRAP END,MEDIEVAL,1350,1400,WILT-BB6733
STRAP END,MEDIEVAL,1350,1450,WILT-32CEFB
BUCKLE,MEDIEVAL,1350,1450,WILT-31C55A
BUCKLE,MEDIEVAL,1350,1450,WILT-C9E865
STRAP END,MEDIEVAL,1350,1450,WILT-C5D7E1
BUCKLE,MEDIEVAL,1350,1450,WILT-35B771
BUCKLE,MEDIEVAL,1350,1450,WILT-6D3BA4
BUCKLE,MEDIEVAL,1350,1450,WILT-1CF421
BUCKLE,MEDIEVAL,1350,1450,WILT-0BFDE2
BUCKLE,MEDIEVAL,1350,1450,PUBLIC-D6CCC9
BUCKLE,MEDIEVAL,1350,1650,SOM-57C790
THIMBLE,POST MEDIEVAL,1350,1700,SOM-EDD52A
COIN,MEDIEVAL,1351,1352,WILT-B8C382
COIN,MEDIEVAL,1351,1509,WILT-73B674
COIN,MEDIEVAL,1353,1361,WILT-A0D1DA
COIN,MEDIEVAL,1356,1356,WILT-B890D1
COIN,MEDIEVAL,1363,1369,WILT-72B946
COIN,MEDIEVAL,1369,1377,WILT-B61F8A
BUCKLE,MEDIEVAL,1375,1425,PUBLIC-15B802
COIN,MEDIEVAL,1399,1483,WILT-1BDCBF
COIN,MEDIEVAL,1399,1509,WILT-1AFB53
COIN,MEDIEVAL,1399,1509,WILT-74E386
BUCKLE,MEDIEVAL,1400,1450,WILT-26AF68
TOKEN,MEDIEVAL,1400,1500,SOM-2E82E3
BUCKLE,MEDIEVAL,1400,1500,PUBLIC-F6349A
BUTTON,MEDIEVAL,1400,1500,PUBLIC-F3F9BA
CLASP,MEDIEVAL,1400,1500,PUBLIC-E9639E
MOUNT,MEDIEVAL,1400,1500,WILT-3897E0
MOUNT,MEDIEVAL,1400,1500,WILT-791383
FINGER RING,MEDIEVAL,1400,1500,WILT-0C6065
SCABBARD,MEDIEVAL,1400,1525,PUBLIC-AB826F
STUD,POST MEDIEVAL,1400,1530,WILT-1E40BF
MOUNT,MEDIEVAL,1400,1550,CORN-F0CA99
PENDANT,MEDIEVAL,1400,1550,SOM-4A3FBC
STUD,MEDIEVAL,1400,1600,WILT-BB2F77
COCKSPUR,POST MEDIEVAL,1400,1800,SOM-ED97E1
UNIDENTIFIED OBJECT,MEDIEVAL,1401,1401,WILT-C9C031
MOUNT,MEDIEVAL,1401,1500,WILT-76B141
BUCKLE,MEDIEVAL,1401,1500,WILT-DB6642
DAGGER,MEDIEVAL,1401,1700,WILT-765613
BUCKLE,MEDIEVAL,1401,1700,WILT-DBBA02
BUCKLE,MEDIEVAL,1401,1700,WILT-DB9007
MOUNT,MEDIEVAL,1401,1700,WILT-DA8727
COIN,MEDIEVAL,1413,1422,WILT-281BD5
COIN WEIGHT,MEDIEVAL,1421,1464,WILT-C9D844
COIN,MEDIEVAL,1422,1427,WILT-B70150
COIN,MEDIEVAL,1422,1427,WILT-B9F4B3
COIN,MEDIEVAL,1422,1427,WILT-B8E8A1
COIN,MEDIEVAL,1422,1427,WILT-735319
PURSE,MEDIEVAL,1450,1500,WILT-22DED4
THIMBLE,MEDIEVAL,1450,1500,PUBLIC-6FB0EC
CROSS,MEDIEVAL,1450,1530,WILT-3E4001
MOUNT,MEDIEVAL,1450,1550,PUBLIC-98CFE7
BUCKLE,POST MEDIEVAL,1450,1650,WILT-0A74A1
THIMBLE,MEDIEVAL,1450,1650,PUBLIC-94A0D0
COIN,MEDIEVAL,1464,1483,WILT-B81BAD
COIN,MEDIEVAL,1471,1483,WILT-9DE286
COIN,MEDIEVAL,1472,1475,WILT-1B78B0
COIN,MEDIEVAL,1485,1509,WILT-91DC4C
COIN,MEDIEVAL,1485,1509,WILT-746A53
POINT,MEDIEVAL,1500,1500,WILT-7C5D48
JETTON,POST MEDIEVAL,1500,1550,SOM-7031A0
DAGGER,MEDIEVAL,1500,1550,WILT-1A0273
MOUNT,POST MEDIEVAL,1500,1600,WILT-4DD555
DRESS PIN,POST MEDIEVAL,1500,1600,DOR-AC2945
BUCKLE,POST MEDIEVAL,1500,1600,WILT-0B8851
HOOKED TAG,POST MEDIEVAL,1500,1600,WILT-4E1148
DRESS HOOK,POST MEDIEVAL,1500,1625,SOM-570111
BUCKLE,POST MEDIEVAL,1500,1650,WILT-09A655
STRAP FITTING,POST MEDIEVAL,1500,1700,WILT-3C8C22
MOUNT,POST MEDIEVAL,1500,1700,WILT-3846F4
STRAP FITTING,POST MEDIEVAL,1500,1700,WILT-B10D19
MOUNT,POST MEDIEVAL,1500,1700,WILT-B917D8
MOUNT,POST MEDIEVAL,1500,1800,WILT-380517
CLOTH SEAL,POST MEDIEVAL,1500,1900,WILT-CCA764
RING,POST MEDIEVAL,1500,1900,WILT-6A7DB0
CUFF LINK,POST MEDIEVAL,1500,1900,WILT-90DC82
MOUNT,POST MEDIEVAL,1500,1900,WILT-A1B2D1
MOUNT,POST MEDIEVAL,1500,1900,WILT-A1A652
MOUNT,POST MEDIEVAL,1500,1900,WILT-A197A8
PIN,POST MEDIEVAL,1500,1900,WILT-A16FE1
RING,POST MEDIEVAL,1500,1900,WILT-B8AF81
HOOKED TAG,POST MEDIEVAL,1500,1900,WILT-46AAEE
COIN,POST MEDIEVAL,1501,1521,WILT-BC0315
BUCKLE,POST MEDIEVAL,1501,1600,WILT-013482
STRAP FITTING,POST MEDIEVAL,1501,1700,WILT-C9A586
DAGGER,POST MEDIEVAL,1501,1700,WILT-7A5B12
KNIFE,POST MEDIEVAL,1501,1700,WILT-78A495
MOUNT,POST MEDIEVAL,1501,1700,WILT-7894D2
MOUNT,POST MEDIEVAL,1501,1700,WILT-787501
MOUNT,POST MEDIEVAL,1501,1700,WILT-782B72
STRAP FITTING,POST MEDIEVAL,1501,1700,WILT-66C687
BUCKLE,POST MEDIEVAL,1501,1700,WILT-668273
BUCKLE,POST MEDIEVAL,1501,1700,WILT-2D94F6
COIN,POST MEDIEVAL,1509,1547,SOM-82F578
KNIFE,POST MEDIEVAL,1530,1570,WILT-A128F2
BUCKLE,POST MEDIEVAL,1540,1650,SOM-5766E3
COIN,POST MEDIEVAL,1544,1547,SOM-EABD46
COIN,POST MEDIEVAL,1544,1547,WILT-A492D6
COIN,POST MEDIEVAL,1544,1548,WILT-0D2E98
COIN,POST MEDIEVAL,1549,1550,WILT-CFF4B4
COIN,POST MEDIEVAL,1549,1550,WILT-108A67
TOKEN,POST MEDIEVAL,1550,1600,SOM-2E9C94
BOOK FITTING,POST MEDIEVAL,1550,1600,WILT-1B7866
COIN,POST MEDIEVAL,1560,1561,WILT-A0D4EF
COIN,POST MEDIEVAL,1568,1568,WILT-A1CBCB
BUCKLE,POST MEDIEVAL,1575,1700,WILT-0BA5A4
COIN,MEDIEVAL,1578,1578,WILT-BA1CE8
COIN,POST MEDIEVAL,1582,1583,WILT-A270DF
COIN,POST MEDIEVAL,1582,1603,WILT-A21AFD
COIN,POST MEDIEVAL,1591,1594,WILT-0C8C94
STRAP FITTING,POST MEDIEVAL,1600,1700,WILT-1DF1CA
BUTTON,POST MEDIEVAL,1600,1700,WILT-4BA986
TOKEN,POST MEDIEVAL,1600,1700,WILT-BC2E86
TOKEN,POST MEDIEVAL,1600,1700,WILT-349F10
BUCKLE,POST MEDIEVAL,1600,1700,PUBLIC-A994E0
STRAP FITTING,POST MEDIEVAL,1600,1700,WILT-1B53A8
STRAP FITTING,POST MEDIEVAL,1600,1700,WILT-1B3670
BUTTON,POST MEDIEVAL,1600,1700,PUBLIC-FF81DA
MOUNT,POST MEDIEVAL,1600,1750,SOM-3D5BF6
BELL,POST MEDIEVAL,1600,1800,SOM-EFA0B5
BUTTON,POST MEDIEVAL,1601,1700,WILT-795272
BUTTON,POST MEDIEVAL,1601,1700,WILT-67CF06
BUTTON,POST MEDIEVAL,1601,1700,WILT-67BEE1
BUTTON,POST MEDIEVAL,1601,1800,WILT-676E03
COIN,POST MEDIEVAL,1603,1604,WILT-A2A2C6
POINT,POST MEDIEVAL,1603,1625,WILT-7CA426
COIN,POST MEDIEVAL,1613,1614,WILT-A17BBE
COIN,POST MEDIEVAL,1625,1649,WILT-A3D859
COIN,POST MEDIEVAL,1625,1649,SOM-2E5AF2
COIN,POST MEDIEVAL,1631,1632,WILT-A34034
COIN,POST MEDIEVAL,1634,1635,WILT-BB9B45
COIN,POST MEDIEVAL,1636,1649,WILT-A4F221
COIN,POST MEDIEVAL,1638,1639,WILT-9FA4FA
COIN,POST MEDIEVAL,1641,1643,WILT-9F451F
COIN,POST MEDIEVAL,1649,1660,WILT-10F431
COIN,POST MEDIEVAL,1649,1660,WILT-BBB685
BUTTON,POST MEDIEVAL,1649,1660,PUBLIC-DE745D
BUCKLE,POST MEDIEVAL,1650,1720,WILT-0BCB02
COIN,POST MEDIEVAL,1651,1651,WILT-34C594
TOKEN,POST MEDIEVAL,1654,1654,WILT-1DC7F1
TOKEN,POST MEDIEVAL,1656,1656,SOM-08F4F6
TOKEN,POST MEDIEVAL,1658,1658,WILT-20932B
TOKEN,POST MEDIEVAL,1658,1658,WILT-1D8806
JETTON,POST MEDIEVAL,1660,1685,WILT-1CAFF1
TOKEN,POST MEDIEVAL,1661,1661,WILT-210E2C
TOKEN,POST MEDIEVAL,1662,1662,WILT-B9E664
TOKEN,POST MEDIEVAL,1662,1662,WILT-1DEDFA
TOKEN,POST MEDIEVAL,1667,1667,WILT-1FECE2
TOKEN,POST MEDIEVAL,1671,1671,SOM-08CAFD
WEIGHT,POST MEDIEVAL,1689,1694,PUBLIC-3FF9B3
FINGER RING,POST MEDIEVAL,1700,1900,WILT-B08B63
BUTTON,POST MEDIEVAL,1790,1810,DEV-B534B5
BUTTON,POST MEDIEVAL,1800,1810,DEV-B5C389
COIN,MEDIEVAL,12222,1236,WILT-9105D6
